x,y
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464951,0.010968
0.464694,0.005975
0.464759,0.010974
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.464886,0.005976
0.465209,0.015971
0.465209,0.015971
0.465532,0.025966
0.465532,0.025966
0.465856,0.035960
0.465856,0.035960
0.465856,0.035960
0.465856,0.035960
0.465856,0.035960
0.465856,0.035960
0.465856,0.035960
0.465856,0.035960
0.466179,0.045955
0.466502,0.055950
0.466502,0.055950
0.466502,0.055950
0.466568,0.060950
0.466568,0.060950
0.466568,0.060950
0.466568,0.060950
0.466507,0.070949
0.466507,0.070949
0.466445,0.080949
0.466445,0.080949
0.466319,0.085948
0.466319,0.085948
0.466319,0.085948
0.466319,0.085948
0.466000,0.090937
0.465681,0.095927
0.465681,0.095927
0.465235,0.105917
0.464916,0.110907
0.464597,0.115897
0.464597,0.115897
0.464597,0.115897
0.464597,0.115897
0.464597,0.115897
0.464597,0.115897
0.464597,0.115897
0.464597,0.115897
0.464278,0.120887
0.463960,0.125877
0.463641,0.130866
0.463322,0.135856
0.463322,0.135856
0.463322,0.135856
0.463322,0.135856
0.463322,0.135856
0.463003,0.140846
0.462684,0.145836
0.462238,0.155826
0.462238,0.155826
0.462238,0.155826
0.462238,0.155826
0.462238,0.155826
0.462238,0.155826
0.462238,0.155826
0.462238,0.155826
0.461919,0.160816
0.461601,0.165806
0.461282,0.170795
0.460963,0.175785
0.460644,0.180775
0.460644,0.180775
0.460644,0.180775
0.460644,0.180775
0.460644,0.180775
0.460325,0.185765
0.460325,0.185765
0.459879,0.195755
0.459560,0.200745
0.459242,0.205735
0.459242,0.205735
0.459242,0.205735
0.459242,0.205735
0.459242,0.205735
0.459242,0.205735
0.459242,0.205735
0.458923,0.210724
0.458604,0.215714
0.458158,0.225704
0.457839,0.230694
0.457839,0.230694
0.457520,0.235684
0.457520,0.235684
0.457520,0.235684
0.457520,0.235684
0.457520,0.235684
0.457394,0.240682
0.457267,0.245681
0.456821,0.255671
0.456694,0.260669
0.456694,0.260669
0.456567,0.265668
0.456567,0.265668
0.456567,0.265668
0.456567,0.265668
0.456567,0.265668
0.456249,0.270657
0.455930,0.275647
0.455611,0.280637
0.455292,0.285627
0.455292,0.285627
0.455292,0.285627
0.455292,0.285627
0.455292,0.285627
0.454973,0.290617
0.454973,0.290617
0.454144,0.300582
0.453825,0.305572
0.453506,0.310562
0.453506,0.310562
0.453506,0.310562
0.453506,0.310562
0.453506,0.310562
0.453506,0.310562
0.453506,0.310562
0.453187,0.315552
0.452868,0.320541
0.452038,0.330507
0.452038,0.330507
0.452038,0.330507
0.452038,0.330507
0.452038,0.330507
0.452038,0.330507
0.451720,0.335497
0.451401,0.340487
0.451401,0.340487
0.450571,0.350452
0.450252,0.355442
0.450252,0.355442
0.450252,0.355442
0.450252,0.355442
0.450252,0.355442
0.449933,0.360432
0.449933,0.360432
0.449615,0.365422
0.449169,0.375412
0.449169,0.375412
0.449169,0.375412
0.449169,0.375412
0.449169,0.375412
0.449169,0.375412
0.448850,0.380401
0.448850,0.380401
0.448531,0.385391
0.448085,0.395381
0.447766,0.400371
0.447766,0.400371
0.447766,0.400371
0.447766,0.400371
0.447766,0.400371
0.447766,0.400371
0.447448,0.405361
0.447129,0.410351
0.446299,0.420316
0.445980,0.425306
0.445980,0.425306
0.445980,0.425306
0.445980,0.425306
0.445980,0.425306
0.445980,0.425306
0.445661,0.430296
0.445343,0.435286
0.444897,0.445276
0.444897,0.445276
0.444897,0.445276
0.444897,0.445276
0.444897,0.445276
0.444897,0.445276
0.444578,0.450266
0.444578,0.450266
0.444259,0.455256
0.443813,0.465246
0.443813,0.465246
0.443813,0.465246
0.443813,0.465246
0.443813,0.465246
0.443494,0.470235
0.443494,0.470235
0.443176,0.475225
0.442857,0.480215
0.442538,0.485205
0.442092,0.495195
0.442092,0.495195
0.442092,0.495195
0.442092,0.495195
0.442092,0.495195
0.441773,0.500185
0.441454,0.505175
0.441009,0.515165
0.440690,0.520154
0.440690,0.520154
0.440690,0.520154
0.440690,0.520154
0.440690,0.520154
0.440690,0.520154
0.440371,0.525144
0.440371,0.525144
0.440052,0.530134
0.439222,0.540100
0.438903,0.545089
0.438903,0.545089
0.438903,0.545089
0.438903,0.545089
0.438903,0.545089
0.438903,0.545089
0.438903,0.545089
0.438903,0.545089
0.438458,0.555080
0.438012,0.565070
0.438012,0.565070
0.438012,0.565070
0.438012,0.565070
0.438012,0.565070
0.438012,0.565070
0.438012,0.565070
0.437693,0.570059
0.437374,0.575049
0.436929,0.585039
0.436929,0.585039
0.436802,0.590038
0.436675,0.595036
0.436675,0.595036
0.436675,0.595036
0.436675,0.595036
0.436675,0.595036
0.436229,0.605026
0.436229,0.605026
0.435783,0.615016
0.435783,0.615016
0.435783,0.615016
0.435783,0.615016
0.435783,0.615016
0.435783,0.615016
0.435338,0.625006
0.435338,0.625006
0.435019,0.629996
0.434700,0.634986
0.434700,0.634986
0.434700,0.634986
0.434700,0.634986
0.434700,0.634986
0.434700,0.634986
0.434254,0.644976
0.434254,0.644976
0.433809,0.654966
0.433809,0.654966
0.433363,0.664956
0.433363,0.664956
0.433363,0.664956
0.433363,0.664956
0.433363,0.664956
0.433363,0.664956
0.433363,0.664956
0.433363,0.664956
0.432917,0.674946
0.432471,0.684936
0.432471,0.684936
0.432471,0.684936
0.432471,0.684936
0.432471,0.684936
0.432345,0.689935
0.432345,0.689935
0.432410,0.694934
0.432476,0.699934
0.432414,0.709934
0.432414,0.709934
0.432480,0.714933
0.432480,0.714933
0.432480,0.714933
0.432480,0.714933
0.432480,0.714933
0.432545,0.719933
0.432545,0.719933
0.432484,0.729932
0.432484,0.729932
0.432423,0.739932
0.432423,0.739932
0.432423,0.739932
0.432423,0.739932
0.432423,0.739932
0.432423,0.739932
0.432423,0.739932
0.432362,0.749932
0.432427,0.754932
0.432493,0.759931
0.432493,0.759931
0.432558,0.764931
0.432558,0.764931
0.432558,0.764931
0.432558,0.764931
0.432558,0.764931
0.432558,0.764931
0.432881,0.774926
0.433205,0.784920
0.433205,0.784920
0.433205,0.784920
0.433205,0.784920
0.433205,0.784920
0.433205,0.784920
0.433205,0.784920
0.433205,0.784920
0.433528,0.794915
0.433528,0.794915
0.433851,0.804910
0.433851,0.804910
0.433851,0.804910
0.433851,0.804910
0.433851,0.804910
0.433851,0.804910
0.433851,0.804910
0.433851,0.804910
0.434175,0.814905
0.434175,0.814905
0.434175,0.814905
0.434498,0.824899
0.434821,0.834894
0.434821,0.834894
0.434821,0.834894
0.434821,0.834894
0.434821,0.834894
0.434887,0.839894
0.434887,0.839894
0.434887,0.839894
0.434825,0.849894
0.434764,0.859893
0.434764,0.859893
0.434764,0.859893
0.434764,0.859893
0.434764,0.859893
0.434764,0.859893
0.434764,0.859893
0.434764,0.859893
